datetime,dew,humidity,precip,precipprob,windspeed_x,cloudcover,visibility,solarenergy,river_discharge,weathercode,apparent_temperature_mean,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
2018-10-16,0.6516393442622951,0.6330275229357796,0.0,0.0,0.04621848739495801,0.2443064182194617,0.3589743589743589,0.6607929515418502,0.10982658959537575,0.015384615384615385,0.5698529411764703,0.0,0.0,0.20670391061452517,0.5512820512820513
2018-10-17,0.6434426229508198,0.6070336391437308,0.0,0.0,0.07563025210084034,0.14906832298136646,0.5128205128205128,0.6211453744493391,0.10115606936416185,0.015384615384615385,0.5772058823529411,0.0,0.0,0.15083798882681568,0.5238095238095237
2018-10-18,0.7172131147540984,0.7415902140672781,0.018867924528301886,1.0,0.2142857142857143,0.2308488612836439,0.46153846153846145,0.6035242290748899,0.09248554913294799,0.015384615384615385,0.6102941176470587,0.0,0.0,0.3072625698324023,0.5128205128205128
2018-10-19,0.7581967213114755,0.7461773700305807,0.07547169811320754,1.0,0.19747899159663868,0.09730848861283645,0.3846153846153846,0.5859030837004404,0.08670520231213874,0.015384615384615385,0.6580882352941175,0.0,0.0,0.2793296089385475,0.5183150183150182
2018-10-20,0.7581967213114755,0.7522935779816511,0.0,0.0,0.2142857142857143,0.06935817805383022,0.3846153846153846,0.5550660792951541,0.08381502890173412,0.7846153846153847,0.6691176470588234,0.00625,0.043478260869565216,0.1731843575418995,0.489010989010989
2018-10-21,0.7377049180327869,0.7155963302752291,0.0,0.0,0.16806722689075632,0.08902691511387163,0.3846153846153846,0.5770925110132158,0.07803468208092487,0.046153846153846156,0.6544117647058822,0.0,0.0,0.15083798882681568,0.4963369963369963
2018-10-22,0.7254098360655739,0.6850152905198774,0.0,0.0,0.13865546218487396,0.07246376811594203,0.3846153846153846,0.5726872246696035,0.07514450867052025,0.046153846153846156,0.6323529411764706,0.0,0.0,0.1731843575418995,0.5128205128205128
2018-10-23,0.7254098360655739,0.723241590214067,0.0,0.0,0.19747899159663868,0.037267080745341616,0.23076923076923073,0.5991189427312774,0.07225433526011563,0.046153846153846156,0.6286764705882351,0.0,0.0,0.15642458100558662,0.5293040293040292
2018-10-24,0.6844262295081968,0.6636085626911314,0.0,0.0,0.07563025210084034,0.062111801242236024,0.41025641025641013,0.5506607929515419,0.06647398843930635,0.046153846153846156,0.5698529411764703,0.0,0.0,0.229050279329609,0.4981684981684981
2018-10-25,0.5737704918032788,0.5519877675840978,0.0,0.0,0.2436974789915966,0.056935817805383024,0.5897435897435896,0.6299559471365638,0.06358381502890173,0.046153846153846156,0.48161764705882343,0.0,0.0,0.21229050279329612,0.575091575091575
