humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,conditions
86.2,1.7,11.5,168.2,1004.9,78.8,6.7,0.54,1
84.9,0.1,13.0,161.7,1006.1,51.0,7.3,0.57,1
84.1,0.7,8.3,164.6,1005.9,63.0,7.2,0.6,1
87.1,1.6,9.4,169.8,1004.7,64.4,6.7,0.64,1
85.6,1.3,7.9,156.6,1004.2,68.4,7.0,0.67,1
85.2,0.0,9.4,142.3,1003.6,71.1,7.0,0.7,0
85.0,0.5,7.2,151.4,1002.2,39.8,6.8,0.75,1
83.5,0.3,7.6,177.2,1000.6,40.8,7.0,0.77,1
86.9,2.3,7.6,151.5,1003.0,73.4,6.1,0.8,1
91.0,12.8,15.8,116.5,1004.9,82.5,6.6,0.84,1
94.9,46.3,20.2,144.6,1004.1,94.9,5.4,0.87,1
93.3,29.1,24.1,168.2,1003.5,89.1,6.2,0.9,1
92.9,19.6,19.1,187.6,1004.2,91.1,5.6,0.93,1
89.1,8.4,10.1,244.8,1004.5,86.5,5.8,0.97,1
89.2,4.7,9.0,193.1,1005.9,76.1,5.8,0.0,1
88.8,12.8,10.8,197.0,1007.6,76.9,6.0,0.03,1
88.2,4.7,12.6,214.6,1008.3,60.2,6.1,0.07,1
80.4,0.2,8.6,248.7,1009.6,48.5,5.9,0.11,1
80.1,0.0,7.9,245.6,1010.4,17.0,6.4,0.14,2
78.5,0.0,7.6,285.2,1009.6,10.2,6.3,0.18,2
76.8,2.1,6.1,336.7,1009.6,19.5,6.0,0.21,1
