,Mean Temperature Day,Mean Temperature Night,year,.geo,District
170,280.84055900621115,148.19993788819883,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
171,276.34291104339,130.04448867052264,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
172,237.97673119880875,100.7411681972368,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
173,270.84840821487575,130.1834274876104,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
174,266.3691410630187,162.9176537747966,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
175,272.05683807662564,137.9273034485567,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
176,284.0903893884527,154.97794686088616,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
177,225.00895145868083,132.8140131016804,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
178,284.40356837693787,141.51936770150954,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
179,260.5139764820766,158.14698702038498,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
180,236.3582203844093,133.4024810475534,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
181,235.44461279461277,111.20384409219696,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
182,262.26655946090824,127.5220920438012,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
183,275.00436480588104,110.9910406616127,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
184,252.22742935906277,100.46519641626465,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
185,259.5711769660771,115.015774561605,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
186,251.6348112412896,110.0179952523164,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
187,214.27130714449805,103.2509380503867,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
188,247.89624014089904,129.09058886591626,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
189,241.0058197411746,92.16387165939202,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
190,235.13316486714135,98.56727161344668,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
191,255.0037522015469,124.02710774178728,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
192,252.35079255685736,146.53824948311512,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
193,258.4047017382648,119.27092426678917,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
194,265.5185923483862,134.98566280763626,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
195,226.52365253392628,143.72659664187688,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
196,264.4648470443916,119.2783868741854,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
197,229.74308057962125,121.48087096526872,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chuadanga
198,222.4007784067934,147.7641023048928,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
199,267.2689238210396,155.39481426078294,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
200,280.4815828140041,142.87688098495212,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
201,290.980382418674,144.42398808045684,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
202,254.8171231507397,136.32516993202722,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
203,279.9929028388644,151.73705517792888,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
204,270.42069724403547,151.95738508477973,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
205,264.6028657178817,143.1174363442734,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
206,287.9565937374549,154.5936370935367,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
207,276.11978166380266,117.9388456484383,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
208,262.1435628742516,112.8235528942116,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
209,272.4544345789834,143.6627475851303,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
210,289.37301044819856,158.4813494775901,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
211,270.6546492340717,154.26661137671977,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
212,295.85901063518395,172.15664942921262,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
213,228.5997170455654,146.7325592740755,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
214,289.2187042638306,152.5744950726901,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
215,228.04068689628264,165.81651868474978,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",CoxsBazar
216,252.70386602426424,129.35859406745237,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
217,236.15449758944425,125.22450696055684,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
218,266.28720104362964,128.60162342368457,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
219,290.5900792383828,122.35941717702376,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
220,262.9858820118858,109.42374257138717,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
221,266.554867050678,150.10164659335555,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
222,259.360314227524,121.5487052662206,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
223,255.83361310488547,126.49971058115304,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
224,259.3352844020748,133.7630610529976,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
225,268.0161206297756,133.8954619124798,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
226,235.98001563993395,108.70877863700876,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
227,259.15830530100925,134.7138962997333,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
228,258.868488223692,156.18372200951393,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
229,270.7523472817898,139.93097252810944,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
230,272.37193033381715,151.79889695210466,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
231,212.62345428156752,142.9353846153847,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
232,280.09256894049344,135.57608127721338,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
233,270.2076632801162,148.56386066763432,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Cumilla
234,238.81198843005723,127.1480706505016,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Dhaka
235,222.57519379844965,124.28981498555538,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Dhaka
236,264.6702592843505,127.58927141713372,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Dhaka
237,288.5090920222861,128.99626522990266,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Dhaka
238,252.77687526921412,111.08737923820073,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Dhaka
239,254.3830386098024,136.0278406657285,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Dhaka
240,254.407425590672,118.11518870819276,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Dhaka
241,239.16640301776573,126.59497444633726,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Dhaka
