datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax_x,feelslikemin_x,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_y,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,feelslikemax_y,feelslikemin_y,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours ,windspeed_y,et0_fao_evapotranspiration,river_discharge
2014-02-02,32,Chittagong,26.0,15.3,20.9,26.0,15.3,20.9,16.1,75.8,0.0,0,0.0,,,,,20.5,330.7,1011.8,3.0,2.8,232.5,20.2,8,,2014-02-02T06:31:20,2014-02-02T17:41:49,0.08,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1493,0,26.0,16.6,20.9,26.7,16.4,20.8,0.0,0.0,0,14.8,4.03,0.16
2014-02-03,33,Chittagong,26.0,14.6,20.7,26.0,14.6,20.7,14.9,71.1,0.0,0,0.0,,,,,18.4,332.7,1009.5,0.1,3.8,233.9,20.0,8,,2014-02-03T06:30:56,2014-02-03T17:42:27,0.11,Clear,Clear conditions throughout the day.,clear-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1494,0,25.6,15.9,20.4,26.3,15.1,20.1,0.0,0.0,0,14.6,4.1,0.16
2014-02-04,34,Chittagong,26.0,14.7,19.9,26.0,14.7,19.9,14.1,71.6,0.0,0,0.0,,,,,24.1,346.0,1009.0,0.2,3.5,230.2,20.0,8,,2014-02-04T06:30:31,2014-02-04T17:43:05,0.14,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1495,0,24.7,15.6,20.1,25.1,15.6,20.2,0.0,0.0,0,13.0,3.78,0.16
2014-02-05,35,Chittagong,27.0,13.1,20.4,26.6,13.1,20.4,13.8,69.2,0.0,0,0.0,,,,,22.3,353.2,1008.9,11.9,3.5,204.6,17.5,8,,2014-02-05T06:30:04,2014-02-05T17:43:43,0.18,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1496,1,25.4,16.3,20.6,26.5,16.6,21.2,0.0,0.0,0,11.0,3.75,0.16
2014-02-06,36,Chittagong,28.0,16.8,21.8,27.6,16.8,21.7,14.7,67.0,0.0,0,0.0,,,,,18.4,309.3,1009.2,11.7,3.5,204.6,17.7,7,,2014-02-06T06:29:36,2014-02-06T17:44:20,0.21,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1497,2,26.0,16.1,21.1,28.2,17.4,22.6,0.0,0.0,0,9.7,3.58,0.16
2014-02-07,37,Chittagong,28.0,17.6,22.3,27.5,17.6,22.2,14.1,62.5,0.0,0,0.0,,,,,18.4,306.7,1008.9,8.8,3.8,226.6,19.3,8,,2014-02-07T06:29:07,2014-02-07T17:44:56,0.25,Clear,Clear conditions throughout the day.,clear-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1498,0,26.3,16.5,21.1,27.2,16.8,21.8,0.0,0.0,0,11.3,3.92,0.16
2014-02-08,38,Chittagong,27.0,16.8,22.0,28.2,16.8,22.0,17.3,75.8,0.0,0,0.0,,,,,14.8,193.1,1008.2,26.3,3.4,212.9,18.5,8,,2014-02-08T06:28:37,2014-02-08T17:45:32,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1499,1,26.4,16.0,21.5,28.1,16.5,22.7,0.0,0.0,0,12.8,3.69,0.16
2014-02-09,39,Chittagong,26.1,18.0,22.2,26.1,18.0,22.2,19.7,86.4,0.0,0,0.0,,,,,18.4,173.6,1007.9,31.8,3.7,202.6,17.6,7,,2014-02-09T06:28:06,2014-02-09T17:46:08,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1500,3,26.0,19.3,22.3,28.5,20.9,24.6,0.0,0.0,0,13.1,3.05,0.16
2014-02-10,40,Chittagong,27.0,19.4,23.0,28.5,19.4,23.1,20.1,84.7,0.0,0,0.0,,,,,18.4,184.6,1008.6,37.4,3.7,212.9,18.4,8,,2014-02-10T06:27:34,2014-02-10T17:46:43,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1501,51,27.2,20.6,23.0,30.7,23.7,26.1,0.1,0.1,1,10.9,3.34,0.16
2014-02-11,41,Chittagong,28.0,19.7,23.4,30.6,19.7,23.7,20.6,85.1,0.0,0,0.0,,,,,18.4,262.7,1008.1,27.9,3.8,210.1,18.1,7,,2014-02-11T06:27:00,2014-02-11T17:47:18,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1502,3,26.8,19.5,22.7,30.4,22.6,25.8,0.0,0.0,0,10.1,3.34,0.16
